date,close
2018-01-01,26.44
2018-01-02,26.46
2018-01-03,26.46
2018-01-04,26.4
2018-01-05,26.44
2018-01-08,26.47
2018-01-09,26.54
2018-01-10,26.52
2018-01-11,26.62
2018-01-12,26.78
2018-01-15,26.95
2018-01-16,27.05
2018-01-17,27.01
2018-01-18,26.83
2018-01-19,26.95
2018-01-22,26.9
2018-01-23,27.0
2018-01-24,27.13
2018-01-25,27.33
2018-01-29,27.15
2018-01-30,27.15
2018-01-31,27.09
2018-02-01,27.14
2018-02-02,27.36
2018-02-05,27.18
2018-02-06,27.37
2018-02-07,27.1
2018-02-08,26.78
2018-02-09,26.94
2018-02-12,27.0
2018-02-14,27.13
2018-02-15,27.47
2018-02-16,27.63
2018-02-19,27.57
2018-02-20,27.5
2018-02-21,27.31
2018-02-22,27.29
2018-02-23,27.32
2018-02-26,27.46
2018-02-27,27.43
2018-02-28,27.3
2018-03-01,27.19
2018-03-05,27.4
2018-03-06,27.3
2018-03-07,27.44
2018-03-08,27.35
2018-03-09,27.25
2018-03-12,27.2
2018-03-13,27.16
2018-03-14,27.26
2018-03-15,27.2
2018-03-16,27.17
2018-03-19,27.04
2018-03-20,27.16
2018-03-21,27.17
2018-03-22,27.35
2018-03-23,27.53
2018-03-26,27.54
2018-03-27,27.59
2018-03-28,27.46
2018-04-02,27.45
2018-04-03,27.51
2018-04-04,27.72
2018-04-05,27.33
2018-04-06,27.23
2018-04-09,27.38
2018-04-10,27.53
2018-04-11,27.77
2018-04-12,27.86
2018-04-13,27.7
2018-04-16,27.98
2018-04-17,28.02
2018-04-18,28.17
2018-04-19,28.11
2018-04-20,28.05
2018-04-23,28.01
2018-04-24,27.91
2018-04-25,28.03
2018-04-26,27.96
2018-04-27,27.9
2018-04-30,27.75
2018-05-02,27.7
2018-05-03,27.67
2018-05-04,27.75
2018-05-07,27.91
2018-05-08,27.79
2018-05-09,27.85
2018-05-10,28.14
2018-05-11,28.17
2018-05-14,28.17
2018-05-15,28.07
2018-05-16,27.67
2018-05-17,27.56
2018-05-18,27.7
2018-05-21,27.61
2018-05-22,27.77
2018-05-23,27.88
2018-05-24,27.91
2018-05-25,27.81
2018-05-28,27.62
2018-05-29,27.91
2018-05-30,27.74
2018-05-31,27.78
2018-06-01,27.65
2018-06-04,27.53
2018-06-05,27.43
2018-06-06,27.44
2018-06-07,27.54
2018-06-08,27.72
2018-06-11,27.57
2018-06-12,27.54
2018-06-13,27.58
2018-06-14,27.73
2018-06-15,27.75
2018-06-18,27.45
2018-06-19,27.55
2018-06-20,27.4
2018-06-21,27.23
2018-06-22,27.23
2018-06-25,27.34
2018-06-26,27.16
2018-06-27,27.31
2018-06-28,27.26
2018-06-29,27.13
2018-07-02,27.14
2018-07-03,27.2
2018-07-04,27.25
2018-07-05,27.26
2018-07-06,27.33
2018-07-09,27.36
2018-07-10,27.24
2018-07-11,27.21
2018-07-12,26.96
2018-07-13,26.86
2018-07-16,27.0
2018-07-17,26.87
2018-07-18,26.57
2018-07-19,26.6
2018-07-20,26.64
2018-07-23,26.83
2018-07-24,26.73
2018-07-25,26.75
2018-07-26,26.67
2018-07-27,26.54
2018-07-30,26.6
2018-07-31,26.5
2018-08-01,26.52
2018-08-02,26.45
2018-08-03,26.34
2018-08-06,26.36
2018-08-07,26.38
2018-08-08,26.34
2018-08-09,26.33
2018-08-10,26.37
2018-08-13,26.56
2018-08-14,26.44
2018-08-16,26.29
2018-08-17,26.21
2018-08-20,26.22
2018-08-21,26.38
2018-08-23,26.35
2018-08-24,26.42
2018-08-27,26.69
2018-08-28,26.94
2018-08-29,26.9
2018-08-30,26.98
2018-08-31,27.05
2018-09-03,26.88
2018-09-04,26.93
2018-09-05,26.99
2018-09-06,27.24
2018-09-07,27.09
2018-09-10,27.18
2018-09-11,27.3
2018-09-12,27.28
2018-09-14,27.19
2018-09-17,27.32
2018-09-18,27.46
2018-09-19,27.5
2018-09-21,27.4
2018-09-24,27.34
2018-09-25,27.35
2018-09-26,27.3
2018-09-27,27.25
2018-09-28,27.03
2018-10-01,27.17
2018-10-03,27.99
2018-10-04,27.79
2018-10-05,27.88
2018-10-08,27.74
2018-10-09,27.66
2018-10-10,27.72
2018-10-11,27.97
2018-10-12,28.14
2018-10-15,28.5
2018-10-16,28.29
2018-10-17,28.35
2018-10-19,28.57
2018-10-22,28.36
2018-10-23,28.49
2018-10-24,28.35
2018-10-25,28.37
2018-10-26,28.5
2018-10-29,28.35
2018-10-30,28.24
2018-10-31,28.37
2018-11-01,28.43
2018-11-02,28.21
2018-11-05,28.44
2018-11-06,28.32
2018-11-07,28.3
