date,volatility_state,trend_state,participation_state,volume_state,raw_regime,is_canonical,distance,confirmed_regime,days_in_regime,provisional_regime,provisional_days,regime_confirmed
2018-01-01,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,1,,0,True
2018-01-02,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,2,,0,False
2018-01-03,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,3,,0,False
2018-01-04,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,4,,0,False
2018-01-05,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,5,,0,False
2018-01-08,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,6,,0,False
2018-01-09,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,7,,0,False
2018-01-10,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,8,,0,False
2018-01-11,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,9,,0,False
2018-01-12,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,10,,0,False
2018-01-15,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,11,,0,False
2018-01-16,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,12,,0,False
2018-01-17,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,13,,0,False
2018-01-18,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,14,,0,False
2018-01-19,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,15,,0,False
2018-01-22,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,16,,0,False
2018-01-23,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,17,,0,False
2018-01-24,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,18,,0,False
2018-01-25,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,19,,0,False
2018-01-29,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,20,,0,False
2018-01-30,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,21,,0,False
2018-01-31,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,22,,0,False
2018-02-01,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,23,,0,False
2018-02-02,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,24,,0,False
2018-02-05,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,25,,0,False
2018-02-06,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,26,,0,False
2018-02-07,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,27,,0,False
2018-02-08,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,28,,0,False
2018-02-09,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,29,,0,False
2018-02-12,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,30,,0,False
2018-02-14,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,31,,0,False
2018-02-15,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,32,,0,False
2018-02-16,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,33,,0,False
2018-02-19,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,34,,0,False
2018-02-20,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,35,,0,False
2018-02-21,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,36,,0,False
2018-02-22,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,37,,0,False
2018-02-23,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,38,,0,False
2018-02-26,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,39,,0,False
2018-02-27,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,40,,0,False
2018-02-28,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,41,,0,False
